longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n
-73.99093,21.0,1.0,3.0,70.0,50.0,0.0
-73.95117,4.0,1.0,1.0,15.0,28.0,0.0
-73.91492,3.0,29.0,1.0,63.0,21.0,0.0
-73.81546,30.0,0.0,1.0,348.0,46.0,1.0
-73.98447,3.0,1.0,2.0,26.0,1.0,0.0
-73.991,1.0,2.0,1.0,0.0,14.0,0.0
-73.92832,2.0,35.0,1.0,144.0,56.0,0.0
-73.95458,1.0,0.0,3.0,330.0,117.0,0.0
-74.01206,7.0,0.0,1.0,0.0,79.0,0.0
-73.988,2.0,4.0,1.0,0.0,10.0,1.0
-73.9761,30.0,0.0,1.0,156.0,16.0,1.0
-73.92375,2.0,11.0,1.0,89.0,21.0,0.0
-73.92361,5.0,4.0,1.0,0.0,39.0,1.0
-73.9571,1.0,2.0,1.0,0.0,6.0,0.0
-73.94031,2.0,38.0,1.0,0.0,6.0,1.0
-73.97999,2.0,4.0,2.0,1.0,19.0,0.0
-73.97562,30.0,1.0,50.0,365.0,5.0,1.0
-73.94375,5.0,42.0,1.0,267.0,2.0,1.0
-73.9857,7.0,0.0,1.0,0.0,68.0,1.0
-74.08027,4.0,61.0,6.0,178.0,41.0,0.0
-73.92563,4.0,1.0,2.0,81.0,18.0,0.0
-73.77832,1.0,138.0,6.0,177.0,46.0,0.0
-73.93159,1.0,0.0,1.0,0.0,56.0,0.0
-73.94396,1.0,85.0,4.0,0.0,6.0,0.0
-73.99381,2.0,77.0,1.0,9.0,7.0,1.0
-73.95779,2.0,1.0,3.0,46.0,2.0,0.0
-73.97737,2.0,3.0,1.0,0.0,8.0,0.0
-73.94214,2.0,35.0,9.0,9.0,4.0,2.0
-73.9329,30.0,12.0,15.0,342.0,4.0,1.0
-74.00736,1.0,8.0,2.0,89.0,79.0,0.0
-73.99362,1.0,133.0,3.0,336.0,34.0,0.0
-73.9882,7.0,12.0,2.0,9.0,19.0,1.0
-74.00943,1.0,0.0,1.0,0.0,43.0,2.0
-73.95096,2.0,19.0,1.0,0.0,6.0,1.0
-73.97925,2.0,163.0,1.0,163.0,16.0,0.0
-73.97839,5.0,0.0,1.0,0.0,26.0,0.0
-73.91196,1.0,237.0,1.0,71.0,49.0,1.0
-73.98816,5.0,11.0,1.0,282.0,68.0,1.0
-73.95019,3.0,194.0,1.0,338.0,2.0,1.0
-73.99869,2.0,3.0,1.0,0.0,27.0,1.0
-73.95479,2.0,16.0,1.0,0.0,6.0,1.0
-73.96234,1.0,45.0,2.0,303.0,24.0,0.0
-73.94218,30.0,0.0,1.0,242.0,2.0,1.0
-73.94888,4.0,6.0,1.0,96.0,15.0,1.0
-74.00529,1.0,32.0,2.0,0.0,11.0,0.0
-73.99413,2.0,0.0,1.0,0.0,52.0,0.0
-73.90716,3.0,45.0,2.0,304.0,44.0,0.0
-73.9892,1.0,0.0,1.0,0.0,19.0,1.0
-73.95505,2.0,35.0,2.0,161.0,12.0,0.0
-73.91303,4.0,17.0,2.0,307.0,21.0,0.0
-73.95439,15.0,14.0,1.0,15.0,24.0,0.0
-73.92092,1.0,0.0,1.0,83.0,21.0,0.0
-73.95939,1.0,147.0,3.0,24.0,12.0,0.0
-74.00429,1.0,0.0,1.0,0.0,77.0,0.0
-73.99968,6.0,2.0,1.0,0.0,33.0,1.0
-74.0325,3.0,25.0,1.0,348.0,90.0,1.0
-73.97849,3.0,12.0,1.0,47.0,16.0,1.0
-73.94943,30.0,0.0,1.0,325.0,28.0,1.0
-73.98946,1.0,3.0,1.0,0.0,7.0,0.0
-74.00213,5.0,8.0,1.0,0.0,27.0,1.0
-73.95928,3.0,21.0,1.0,15.0,15.0,1.0
-73.94867,2.0,50.0,1.0,246.0,12.0,0.0
-73.98572,5.0,34.0,3.0,333.0,38.0,1.0
-73.9605,2.0,5.0,1.0,0.0,3.0,0.0
-73.9407,1.0,0.0,3.0,278.0,2.0,0.0
-73.99444,2.0,7.0,1.0,326.0,32.0,1.0
-73.9349,2.0,88.0,2.0,9.0,6.0,1.0
-73.93017,2.0,2.0,1.0,0.0,21.0,0.0
-73.99458,1.0,12.0,1.0,189.0,7.0,1.0
-73.96407,5.0,2.0,1.0,9.0,12.0,1.0
-73.98749,6.0,79.0,1.0,137.0,7.0,1.0
-73.92534,1.0,1.0,2.0,147.0,6.0,0.0
-73.9632,30.0,2.0,1.0,268.0,22.0,1.0
-73.95829,2.0,6.0,1.0,0.0,12.0,0.0
-73.94464,4.0,6.0,1.0,55.0,12.0,0.0
-73.97021,2.0,2.0,1.0,11.0,1.0,1.0
-73.94399,2.0,11.0,2.0,44.0,24.0,0.0
-73.83457,1.0,0.0,1.0,364.0,95.0,0.0
-73.94942,2.0,70.0,2.0,0.0,2.0,0.0
-73.93293,2.0,1.0,1.0,0.0,15.0,0.0
-73.97942,7.0,1.0,1.0,11.0,17.0,1.0
-73.95304,7.0,21.0,2.0,292.0,15.0,0.0
-73.92244,2.0,51.0,4.0,357.0,21.0,1.0
-73.99049,30.0,0.0,65.0,339.0,1.0,1.0
-73.85382,1.0,0.0,1.0,0.0,88.0,2.0
-73.92562,5.0,85.0,1.0,269.0,21.0,1.0
-73.93115,3.0,144.0,1.0,249.0,6.0,1.0
-73.94775,3.0,5.0,1.0,266.0,15.0,1.0
-74.00472,3.0,74.0,1.0,247.0,27.0,1.0
-73.99986,25.0,0.0,2.0,333.0,9.0,0.0
-73.95605,3.0,4.0,5.0,0.0,12.0,0.0
-73.94116,2.0,62.0,9.0,3.0,4.0,2.0
-73.9251,1.0,25.0,9.0,336.0,39.0,0.0
-74.00402,30.0,5.0,1.0,130.0,11.0,1.0
-73.89454,3.0,61.0,2.0,22.0,99.0,0.0
-73.9736,1.0,43.0,2.0,176.0,5.0,0.0
-73.99433,2.0,7.0,1.0,0.0,14.0,1.0
